ETF代码,名称,100% RP 核心,85% RP + 15%现金,70% RP + 30%现金
510300,沪深 300 ETF,0.053528629577460976,0.045499335140841826,0.03747004070422268
510880,红利 ETF (跟踪中证红利),0.06542388059467452,0.05561029850547334,0.045796716416272164
511260,10 年国债 ETF,0.4758343160917714,0.4044591686780057,0.33308402126423997
511130,30 年国债 ETF,0.16654201063212004,0.14156070903730203,0.11657940744248402
518880,黄金 ETF,0.10408875664507498,0.08847544314831374,0.07286212965155249
159980,有色金属 ETF,0.05888149253520707,0.050049268654926,0.04121704477464495
159985,豆粕 ETF,0.07570091392369091,0.06434577683513727,0.052990639746583634
511880,货币基金,0.0,0.15,0.3
