date,close
2015-01-05,1464.774
2015-01-06,1539.828
2015-01-07,1523.387
2015-01-08,1541.887
2015-01-09,1553.239
2015-01-12,1586.124
2015-01-13,1601.168
2015-01-14,1588.007
2015-01-15,1586.335
2015-01-16,1639.555
2015-01-19,1630.065
2015-01-20,1700.852
2015-01-21,1722.581
2015-01-22,1744.037
2015-01-23,1697.288
2015-01-26,1739.79
2015-01-27,1743.675
2015-01-28,1731.413
2015-01-29,1711.372
2015-01-30,1680.58
2015-02-02,1696.829
2015-02-03,1750.906
2015-02-04,1757.739
2015-02-05,1774.312
2015-02-06,1730.966
2015-02-09,1708.845
2015-02-10,1747.675
2015-02-11,1772.845
2015-02-12,1788.809
2015-02-13,1825.488
2015-02-16,1896.628
2015-02-17,1894.306
2015-02-25,1876.745
2015-02-26,1880.388
2015-02-27,1928.044
2015-03-02,1986.986
2015-03-03,1961.743
2015-03-04,2009.827
2015-03-05,2014.786
2015-03-06,1951.398
2015-03-09,1994.39
2015-03-10,2045.322
2015-03-11,2035.829
2015-03-12,2018.132
2015-03-13,2069.072
2015-03-16,2142.672
2015-03-17,2137.462
2015-03-18,2182.919
2015-03-19,2183.878
2015-03-20,2213.766
2015-03-23,2293.649
2015-03-24,2357.969
2015-03-25,2385.014
2015-03-26,2291.789
2015-03-27,2323.818
2015-03-30,2290.476
2015-03-31,2335.171
2015-04-01,2404.909
2015-04-02,2475.325
2015-04-03,2510.16
2015-04-07,2556.698
2015-04-08,2488.158
2015-04-09,2496.487
2015-04-10,2552.829
2015-04-13,2577.776
2015-04-14,2558.848
2015-04-15,2441.739
2015-04-16,2484.33
2015-04-17,2463.99
2015-04-20,2424.848
2015-04-21,2566.091
2015-04-22,2634.931
2015-04-23,2706.185
2015-04-24,2734.75
2015-04-27,2747.497
2015-04-28,2687.974
2015-04-29,2797.524
2015-04-30,2857.89
2015-05-04,2845.252
2015-05-05,2783.443
2015-05-06,2846.558
2015-05-07,2806.047
2015-05-08,2973.596
2015-05-11,3146.83
2015-05-12,3250.296
2015-05-13,3192.147
2015-05-14,3141.593
2015-05-15,3145.335
2015-05-18,3278.483
2015-05-19,3322.774
2015-05-20,3406.284
2015-05-21,3527.413
2015-05-22,3516.627
2015-05-25,3467.916
2015-05-26,3618.231
2015-05-27,3628.673
2015-05-28,3432.982
2015-05-29,3542.844
2015-06-01,3718.753
2015-06-02,3901.543
2015-06-03,3982.251
2015-06-04,3943.467
2015-06-05,3885.832
2015-06-08,3704.553
2015-06-09,3705.536
2015-06-10,3834.699
2015-06-11,3862.138
2015-06-12,3899.705
2015-06-15,3696.027
2015-06-16,3590.669
2015-06-17,3741.357
2015-06-18,3504.554
2015-06-19,3314.976
2015-06-23,3393.94
2015-06-24,3383.404
2015-06-25,3206.381
