date,close
2012-05-04,1.007
2012-05-11,0.978
2012-05-18,0.955
2012-05-21,0.96
2012-05-25,0.955
2012-05-28,0.97
2012-05-29,0.984
2012-05-30,0.98
2012-05-31,0.977
2012-06-01,0.978
2012-06-04,0.951
2012-06-05,0.951
2012-06-06,0.95
2012-06-07,0.946
2012-06-08,0.94
2012-06-11,0.953
2012-06-12,0.946
2012-06-13,0.962
2012-06-14,0.955
2012-06-15,0.958
2012-06-18,0.963
2012-06-19,0.955
2012-06-20,0.953
2012-06-21,0.939
2012-06-25,0.919
2012-06-26,0.92
2012-06-27,0.917
2012-06-28,0.91
2012-06-29,0.923
2012-06-30,0.923
2012-07-02,0.924
2012-07-03,0.926
2012-07-04,0.924
2012-07-05,0.913
2012-07-06,0.928
2012-07-09,0.908
2012-07-10,0.904
2012-07-11,0.911
2012-07-12,0.92
2012-07-13,0.921
2012-07-16,0.903
2012-07-17,0.908
2012-07-18,0.908
2012-07-19,0.912
2012-07-20,0.902
2012-07-23,0.89
2012-07-24,0.894
2012-07-25,0.888
2012-07-26,0.883
2012-07-27,0.884
2012-07-30,0.879
2012-07-31,0.878
2012-08-01,0.888
2012-08-02,0.879
2012-08-03,0.887
2012-08-06,0.898
2012-08-07,0.9
2012-08-08,0.9
2012-08-09,0.908
2012-08-10,0.904
2012-08-13,0.886
2012-08-14,0.888
2012-08-15,0.879
2012-08-16,0.874
2012-08-17,0.872
2012-08-20,0.868
2012-08-21,0.872
2012-08-22,0.865
2012-08-23,0.868
2012-08-24,0.858
2012-08-27,0.84
2012-08-28,0.844
2012-08-29,0.835
2012-08-30,0.834
2012-08-31,0.831
2012-09-03,0.84
2012-09-04,0.831
2012-09-05,0.829
2012-09-06,0.836
2012-09-07,0.874
2012-09-10,0.877
2012-09-11,0.871
2012-09-12,0.875
2012-09-13,0.867
2012-09-14,0.873
2012-09-17,0.852
2012-09-18,0.843
2012-09-19,0.847
2012-09-20,0.828
2012-09-21,0.829
2012-09-24,0.835
2012-09-25,0.833
2012-09-26,0.824
2012-09-27,0.849
2012-09-28,0.864
2012-09-30,0.864
2012-10-08,0.855
2012-10-09,0.874
2012-10-10,0.876
2012-10-11,0.868
2012-10-12,0.868
2012-10-15,0.865
2012-10-16,0.866
2012-10-17,0.867
2012-10-18,0.88
2012-10-19,0.879
2012-10-22,0.882
2012-10-23,0.871
2012-10-24,0.87
2012-10-25,0.863
2012-10-26,0.847
2012-10-29,0.842
2012-10-30,0.844
2012-10-31,0.849
2012-11-01,0.866
2012-11-02,0.869
2012-11-05,0.867
2012-11-06,0.864
2012-11-07,0.862
2012-11-08,0.846
2012-11-09,0.844
2012-11-12,0.848
2012-11-13,0.834
2012-11-14,0.838
2012-11-15,0.826
2012-11-16,0.821
2012-11-19,0.819
2012-11-20,0.816
2012-11-21,0.827
2012-11-22,0.821
2012-11-23,0.826
2012-11-26,0.819
2012-11-27,0.81
2012-11-28,0.802
2012-11-29,0.797
2012-11-30,0.806
2012-12-03,0.795
2012-12-04,0.803
2012-12-05,0.832
2012-12-06,0.83
2012-12-07,0.846
2012-12-10,0.855
2012-12-11,0.851
2012-12-12,0.854
2012-12-13,0.845
2012-12-14,0.887
2012-12-17,0.891
2012-12-18,0.892
2012-12-19,0.893
2012-12-20,0.898
2012-12-21,0.893
2012-12-24,0.896
2012-12-25,0.921
2012-12-26,0.925
2012-12-27,0.92
2012-12-28,0.933
2012-12-31,0.949
2013-01-04,0.95
2013-01-07,0.9537
2013-01-08,0.9499
2013-01-09,0.9501
2013-01-10,0.9518
2013-01-11,0.9343
2013-01-14,0.9692
2013-01-15,0.9759
2013-01-16,0.969
2013-01-17,0.9599
2013-01-18,0.9757
2013-01-21,0.9815
2013-01-22,0.9763
2013-01-23,0.9803
2013-01-24,0.971
2013-01-25,0.967
2013-01-28,0.9965
2013-01-29,1.0052
2013-01-30,1.0098
2013-01-31,1.0091
2013-02-01,1.0297
2013-02-04,1.0312
2013-02-05,1.04
2013-02-06,1.0415
2013-02-07,1.0355
2013-02-08,1.04
2013-02-18,1.0272
2013-02-19,1.0081
2013-02-20,1.0144
2013-02-21,0.9804
2013-02-22,0.9752
2013-02-25,0.9782
2013-02-26,0.9644
2013-02-27,0.9744
2013-02-28,1.0033
2013-03-01,1.0015
2013-03-04,0.956
2013-03-05,0.9843
2013-03-06,0.9945
2013-03-07,0.9832
2013-03-08,0.9787
2013-03-11,0.9733
2013-03-12,0.9596
2013-03-13,0.9492
2013-03-14,0.9517
2013-03-15,0.9537
2013-03-18,0.9399
2013-03-19,0.9483
2013-03-20,0.9795
2013-03-21,0.9813
2013-03-22,0.9826
2013-03-25,0.9807
2013-03-26,0.9667
2013-03-27,0.9698
2013-03-28,0.9388
2013-03-29,0.9375
2013-04-01,0.9369
2013-04-02,0.9346
2013-04-03,0.9338
2013-04-08,0.9298
2013-04-09,0.9361
2013-04-10,0.9346
2013-04-11,0.9319
2013-04-12,0.9262
2013-04-15,0.9168
2013-04-16,0.9251
2013-04-17,0.9247
2013-04-18,0.927
2013-04-19,0.9525
2013-04-22,0.9513
2013-04-23,0.9213
2013-04-24,0.9382
2013-04-25,0.928
2013-04-26,0.9204
2013-05-02,0.9211
2013-05-03,0.9373
2013-05-06,0.9495
2013-05-07,0.951
2013-05-08,0.9559
2013-05-09,0.9503
2013-05-10,0.9552
2013-05-13,0.9514
2013-05-14,0.9376
2013-05-15,0.9427
2013-05-16,0.96
2013-05-17,0.9746
2013-05-20,0.9813
2013-05-21,0.9833
2013-05-22,0.9846
2013-05-23,0.9719
2013-05-24,0.9773
2013-05-27,0.9781
2013-05-28,0.9947
2013-05-29,0.994
2013-05-30,0.991
2013-05-31,0.9808
2013-06-03,0.9807
2013-06-04,0.9672
2013-06-05,0.9656
2013-06-06,0.954
2013-06-07,0.9388
2013-06-13,0.9092
2013-06-14,0.9156
2013-06-17,0.9109
2013-06-18,0.9169
2013-06-19,0.9106
2013-06-20,0.8813
2013-06-21,0.8804
2013-06-24,0.8259
2013-06-25,0.824
2013-06-26,0.826
2013-06-27,0.8238
2013-06-28,0.8394
2013-06-30,0.8394
2013-07-01,0.8444
2013-07-02,0.8477
2013-07-03,0.8418
2013-07-04,0.8489
2013-07-05,0.8511
2013-07-08,0.8283
2013-07-09,0.828
2013-07-10,0.8511
2013-07-11,0.8909
2013-07-12,0.8717
2013-07-15,0.8836
2013-07-16,0.8875
2013-07-17,0.8747
2013-07-18,0.8609
2013-07-19,0.8403
2013-07-22,0.8455
2013-07-23,0.8695
2013-07-24,0.8636
2013-07-25,0.8596
2013-07-26,0.8545
2013-07-29,0.8365
2013-07-30,0.8415
2013-07-31,0.843
2013-08-01,0.8627
2013-08-02,0.8635
2013-08-05,0.8752
2013-08-06,0.881
2013-08-07,0.8761
2013-08-08,0.875
2013-08-09,0.8786
2013-08-12,0.9037
2013-08-13,0.9061
2013-08-14,0.9024
2013-08-15,0.8921
2013-08-16,0.8855
2013-08-19,0.896
2013-08-20,0.8889
2013-08-21,0.8874
2013-08-22,0.8858
2013-08-23,0.8795
2013-08-26,0.8977
2013-08-27,0.8997
2013-08-28,0.8949
2013-08-29,0.8911
2013-08-30,0.8894
2013-09-02,0.8918
2013-09-03,0.9046
2013-09-04,0.9032
2013-09-05,0.8998
2013-09-06,0.9059
2013-09-09,0.9371
2013-09-10,0.9507
2013-09-11,0.9537
2013-09-12,0.9629
2013-09-13,0.9558
2013-09-16,0.9517
2013-09-17,0.9329
2013-09-18,0.9349
2013-09-23,0.9499
2013-09-24,0.9391
2013-09-25,0.9335
2013-09-26,0.9166
2013-09-27,0.9206
2013-09-30,0.9259
2013-10-08,0.9382
2013-10-09,0.9426
2013-10-10,0.9336
2013-10-11,0.9484
2013-10-14,0.9499
2013-10-15,0.948
2013-10-16,0.9305
2013-10-17,0.9273
2013-10-18,0.9321
2013-10-21,0.9492
2013-10-22,0.9396
2013-10-23,0.9293
2013-10-24,0.9224
2013-10-25,0.9104
2013-10-28,0.9094
2013-10-29,0.9117
2013-10-30,0.9251
2013-10-31,0.9122
2013-11-01,0.9164
2013-11-04,0.9147
2013-11-05,0.9159
2013-11-06,0.9045
2013-11-07,0.8996
2013-11-08,0.8872
2013-11-11,0.8902
2013-11-12,0.8993
2013-11-13,0.8796
2013-11-14,0.8858
2013-11-15,0.9032
2013-11-18,0.9326
2013-11-19,0.9263
2013-11-20,0.931
2013-11-21,0.9254
2013-11-22,0.9208
2013-11-25,0.9172
2013-11-26,0.9168
2013-11-27,0.9269
2013-11-28,0.9365
2013-11-29,0.9362
2013-12-02,0.9284
2013-12-03,0.9375
2013-12-04,0.9497
2013-12-05,0.947
2013-12-06,0.941
2013-12-09,0.9405
2013-12-10,0.9415
2013-12-11,0.9262
2013-12-12,0.925
2013-12-13,0.9241
2013-12-16,0.9092
2013-12-17,0.9048
2013-12-18,0.9051
2013-12-19,0.8957
2013-12-20,0.8751
2013-12-23,0.8775
2013-12-24,0.8788
2013-12-25,0.8852
2013-12-26,0.8701
2013-12-27,0.8846
2013-12-30,0.883
2013-12-31,0.8946
2014-01-02,0.8915
2014-01-03,0.8796
2014-01-06,0.8597
2014-01-07,0.8595
2014-01-08,0.861
2014-01-09,0.8535
2014-01-10,0.8468
2014-01-13,0.8425
2014-01-14,0.8498
2014-01-15,0.8483
2014-01-16,0.8494
2014-01-17,0.8368
2014-01-20,0.832
2014-01-21,0.8401
2014-01-22,0.8609
2014-01-23,0.8565
2014-01-24,0.8615
2014-01-27,0.8505
2014-01-28,0.8519
2014-01-29,0.8549
2014-01-30,0.8455
2014-02-07,0.8491
2014-02-10,0.8695
2014-02-11,0.8761
2014-02-12,0.8782
2014-02-13,0.8739
2014-02-14,0.8798
2014-02-17,0.8857
2014-02-18,0.875
2014-02-19,0.8846
2014-02-20,0.8768
2014-02-21,0.8683
2014-02-24,0.8499
2014-02-25,0.829
2014-02-26,0.8309
2014-02-27,0.8275
2014-02-28,0.8365
2014-03-03,0.8408
2014-03-04,0.8384
2014-03-05,0.8309
2014-03-06,0.8345
2014-03-07,0.8325
2014-03-10,0.8064
2014-03-11,0.8104
2014-03-12,0.8124
2014-03-13,0.8221
2014-03-14,0.8156
2014-03-17,0.8231
2014-03-18,0.8213
2014-03-19,0.8149
2014-03-20,0.8023
2014-03-21,0.8288
2014-03-24,0.8352
2014-03-25,0.8345
2014-03-26,0.8332
2014-03-27,0.8275
