date,close
2015-01-05,1.1759
2015-01-06,1.1659
2015-01-07,1.1775
2015-01-08,1.1571
2015-01-09,1.1344
2015-01-12,1.1048
2015-01-13,1.1072
2015-01-14,1.09
2015-01-15,1.1304
2015-01-16,1.1376
2015-01-19,1.0429
2015-01-20,1.065
2015-01-21,1.1042
2015-01-22,1.1138
2015-01-23,1.1111
2015-01-26,1.1233
2015-01-27,1.1076
2015-01-28,1.087
2015-01-29,1.0762
2015-01-30,1.0599
2015-02-02,1.0415
2015-02-03,1.0686
2015-02-04,1.06
2015-02-05,1.0363
2015-02-06,1.0091
2015-02-09,1.0101
2015-02-10,1.0227
2015-02-11,1.0222
2015-02-12,1.0239
2015-02-13,1.0355
2015-02-16,1.0432
2015-02-17,1.0422
2015-02-25,1.042
2015-02-26,1.0647
2015-02-27,1.071
2015-03-02,1.0842
2015-03-03,1.0588
2015-03-04,1.0722
2015-03-05,1.0578
2015-03-06,1.0598
2015-03-09,1.0728
2015-03-10,1.0685
2015-03-11,1.0627
2015-03-12,1.0792
2015-03-13,1.0931
2015-03-16,1.1105
2015-03-17,1.1244
2015-03-18,1.1444
2015-03-19,1.1514
2015-03-20,1.1462
2015-03-23,1.167
2015-03-24,1.1553
2015-03-25,1.1481
2015-03-26,1.1819
2015-03-27,1.1804
2015-03-30,1.212
2015-03-31,1.186
2015-04-01,1.2024
2015-04-02,1.2172
2015-04-03,1.217
2015-04-07,1.2495
2015-04-08,1.2518
2015-04-09,1.2337
2015-04-10,1.255
2015-04-13,1.2792
2015-04-14,1.2739
2015-04-15,1.2457
2015-04-16,1.2923
2015-04-17,1.3491
2015-04-20,1.3406
2015-04-21,1.3727
2015-04-22,1.4019
2015-04-23,1.4209
2015-04-24,1.4097
2015-04-27,1.4854
2015-04-28,1.4447
2015-04-29,1.4473
2015-04-30,1.4114
2015-05-04,1.4211
2015-05-05,1.3801
2015-05-06,1.336
2015-05-07,1.2797
2015-05-08,1.3067
2015-05-11,1.3427
2015-05-12,1.3494
2015-05-13,1.3296
2015-05-14,1.343
2015-05-15,1.2991
2015-05-18,1.2869
2015-05-19,1.3252
2015-05-20,1.3238
2015-05-21,1.3501
2015-05-22,1.3987
2015-05-25,1.4448
2015-05-26,1.4743
2015-05-27,1.5086
2015-05-28,1.3897
2015-05-29,1.3772
2015-06-01,1.4632
2015-06-02,1.4847
2015-06-03,1.4812
2015-06-04,1.5328
2015-06-05,1.553
2015-06-08,1.581
2015-06-09,1.6176
2015-06-10,1.5992
2015-06-11,1.5838
2015-06-12,1.6091
2015-06-15,1.5718
2015-06-16,1.528
2015-06-17,1.5674
2015-06-18,1.5166
2015-06-19,1.4229
2015-06-23,1.4573
2015-06-24,1.5209
2015-06-25,1.459
2015-06-26,1.364
2015-06-29,1.3634
2015-06-30,1.3971
2015-07-01,1.3341
2015-07-02,1.2812
2015-07-03,1.1996
2015-07-06,1.2042
2015-07-07,1.186
2015-07-08,1.1131
2015-07-09,1.1739
2015-07-10,1.2247
2015-07-13,1.2595
2015-07-14,1.2269
2015-07-15,1.2008
2015-07-16,1.2032
2015-07-17,1.2359
2015-07-20,1.2437
2015-07-21,1.2436
2015-07-22,1.2597
2015-07-23,1.2754
2015-07-24,1.278
2015-07-27,1.178
2015-07-28,1.1436
2015-07-29,1.177
2015-07-30,1.1492
2015-07-31,1.1379
2015-08-03,1.1411
2015-08-04,1.175
2015-08-05,1.1503
2015-08-06,1.1459
2015-08-07,1.1663
2015-08-10,1.2208
2015-08-11,1.2349
2015-08-12,1.2257
2015-08-13,1.2352
2015-08-14,1.2434
2015-08-17,1.2485
2015-08-18,1.1711
2015-08-19,1.1699
2015-08-20,1.1316
2015-08-21,1.082
2015-08-24,0.9944
2015-08-25,0.9087
2015-08-26,0.8744
2015-08-27,0.907
2015-08-28,0.9606
2015-08-31,0.9582
2015-09-01,0.9627
2015-09-02,0.94
2015-09-07,0.925
2015-09-08,0.9478
2015-09-09,0.9759
2015-09-10,0.9581
2015-09-11,0.9551
2015-09-14,0.9198
2015-09-15,0.8901
2015-09-16,0.9397
2015-09-17,0.9239
2015-09-18,0.9277
2015-09-21,0.9429
2015-09-22,0.9534
2015-09-23,0.9251
2015-09-24,0.936
2015-09-25,0.925
2015-09-28,0.9225
2015-09-29,0.8975
2015-09-30,0.884
2015-10-08,0.9015
2015-10-09,0.9081
2015-10-12,0.9316
2015-10-13,0.9237
2015-10-14,0.9214
2015-10-15,0.9424
2015-10-16,0.9547
2015-10-19,0.948
2015-10-20,0.9582
2015-10-21,0.9152
2015-10-22,0.9274
2015-10-23,0.9354
2015-10-26,0.9387
2015-10-27,0.9307
2015-10-28,0.9192
2015-10-29,0.9218
2015-10-30,0.9109
2015-11-02,0.8915
2015-11-03,0.8887
2015-11-04,0.9254
2015-11-05,0.9453
2015-11-06,0.958
2015-11-09,0.9713
2015-11-10,0.9801
2015-11-11,0.9781
2015-11-12,0.9657
2015-11-13,0.9445
2015-11-16,0.9533
2015-11-17,0.9563
2015-11-18,0.9467
2015-11-19,0.956
2015-11-20,0.9574
2015-11-23,0.9457
2015-11-24,0.9473
2015-11-25,0.9535
2015-11-26,0.9557
2015-11-27,0.8936
2015-11-30,0.8891
2015-12-01,0.8928
2015-12-02,0.9109
2015-12-03,0.9235
2015-12-04,0.9078
2015-12-07,0.9087
2015-12-08,0.8811
2015-12-09,0.8779
2015-12-10,0.8753
2015-12-11,0.8686
2015-12-14,0.8916
2015-12-15,0.8837
2015-12-16,0.8945
2015-12-17,0.9053
2015-12-18,0.9031
2015-12-21,0.915
2015-12-22,0.9184
2015-12-23,0.9121
2015-12-24,0.9095
2015-12-25,0.9135
2015-12-28,0.8897
2015-12-29,0.9007
2015-12-30,0.9006
2015-12-31,0.8885
2016-01-04,0.8328
2016-01-05,0.8389
2016-01-06,0.8888
2016-01-07,0.8245
2016-01-08,0.871
2016-01-11,0.8259
2016-01-12,0.8179
2016-01-13,0.8013
2016-01-14,0.8179
2016-01-15,0.7769
2016-01-18,0.7662
2016-01-19,0.7878
2016-01-20,0.7765
2016-01-21,0.7568
2016-01-22,0.7764
2016-01-25,0.7954
2016-01-26,0.7391
2016-01-27,0.7509
2016-01-28,0.7301
2016-01-29,0.747
2016-02-01,0.7218
2016-02-02,0.7335
2016-02-03,0.7218
2016-02-04,0.7326
2016-02-05,0.7361
2016-02-15,0.7328
2016-02-16,0.7562
2016-02-17,0.7631
2016-02-18,0.7653
2016-02-19,0.7621
2016-02-22,0.7875
2016-02-23,0.7927
2016-02-24,0.7957
2016-02-25,0.7398
2016-02-26,0.7654
2016-02-29,0.7581
2016-03-01,0.7718
2016-03-02,0.7869
2016-03-03,0.7884
2016-03-04,0.7941
2016-03-07,0.8044
2016-03-08,0.8029
2016-03-09,0.7712
